ID,AADT,Length,NumLane,LWIDTH,FuncDum,Shoulder,SHType,SHWidth,SHMark,Median,MedWidth,Medmark,TERRDUM,curv,SEAL,SPEED,LowSp,MedSp,HiSp,PerHV,LOSDUM,ROUGH,RUTT,Rain,Sun,THUNDER,WIND,Fatal,Major,Minor,Crash
158,5721.25,3660,2,2.6,1,0,0,3,0,1,0,1,0,0.36,1,80,0,1,0,"234,725",0,"56,333","6,567",50,"2,625",20,13,0,2,0,2
159,26303.75,7482,4,2.8,1,0,0,4,0,0,12.6,0,0,0.3438,1,110,0,0,1,"155,125",0,"31,429","1,543",0,"2,333",20,18,0,3,2,5
160,2430.75,339,1,3,0,1,0,0,1,1,0,1,0,0.224,0,20,1,0,0,13.87,0,0,0,0,"2,625",20,22,0,1,0,1
161,1611.75,432,1,3,0,0,0,3.5,0,0,3.6,0,0,0.9626,0,20,1,0,0,"116,525",0,0,0,0,"2,667",50,13,0,3,0,3
162,8767,5309,2,2.4,1,0,0,2.6,0,1,0,0,0,0.5752,1,90,0,1,0,12.64,0,67,2.96,40,2.4,50,13,0,6,1,7
163,1611.75,432,1,2.7,0,1,0,0,0,0,3.75,0,0,0.9626,0,20,1,0,0,"116,525",0,0,0,40,"2,667",25,16,0,3,0,3
164,2533.25,11427,2,2.7,1,0,0,1.5,1,1,0,1,0,0.1402,1,100,0,0,1,"199,625",0,"73,727","4,809","33,333","2,333",20,11,0,1,0,1
165,6958,8324,2,2.6,1,1,0,0,0,1,0,0,0,0.4286,1,80,0,1,0,16.69,0,"58,125","4,288",0,"2,625",20,20,0,7,1,8
166,2533.25,8807,2,2.2,1,0,0,1.5,0,1,0,1,0,0.2864,1,90,0,1,0,"199,625",0,70.4,4,0,"2,625",20,20,0,1,0,1
167,21035.25,2068,5,2.1,0,1,0,0,1,1,0,1,0,0.1917,1,60,0,1,0,4.35,0,"67,333",3.7,"33,333","2,625",25,17,0,38,7,45
168,7089.25,7745,2,2.8,1,0,0,3,0,1,0,1,0,0.1615,1,100,0,0,1,"22,725",0,"59,556","4,089",0,"2,625",25,19,0,7,3,10
169,2042.5,15959,2,3,1,0,0,3,0,1,0,1,0,0.2674,1,90,0,1,0,"229,125",0,"81,765","4,612",37.5,"2,625",25,18,0,10,1,11
170,5491.75,3160,2,2.6,1,0,0,3.5,0,1,0,1,0,0.0864,1,100,0,0,1,"181,375",0,"62,333","4,167",37.5,"2,625",25,18,1,3,0,4
171,7833.25,3056,2,2.6,1,1,0,0,1,1,0,1,0,"21,358",1,60,0,1,0,"275,875",0,"78,667",2.3,"33,333","2,625",25,17,0,2,0,2
172,18595,1237,2,3.2,0,1,0,0,0,1,0,0,1,0.6757,1,60,0,1,0,"71,525",0,85,3.5,"33,333","2,625",25,14,1,4,5,10
173,11614.25,509,1,2.9,0,1,0,0,0,1,0,1,0,"22,547",0,20,1,0,0,11.97,0,0,0,37.5,"2,625",25,14,0,3,1,4
174,4571.25,12128,2,2.8,1,0,0,2.7,1,1,0,1,0,0.3768,1,90,0,1,0,"122,175",0,"71,583","4,117",37.5,"2,625",25,18,0,5,1,6
175,1787.25,14685,2,3.5,1,0,0,1.5,0,1,0,1,1,"80,751",1,70,0,1,0,8.58,0,"79,133","2,293","33,333","2,625",30,11,0,13,0,13
176,1508.25,3562,2,4.7,1,0,0,6.4,1,1,0,1,0,"20,742",1,70,0,1,0,7,0,"141,667","5,467",20,"2,625",30,11,0,2,0,2
